🦊 ラッキースポット候補リスト(Web検索ベース),,,,,,,
※豊川ガイドさんの判断で取捨選択して、メインの「ラッキースポット入力」シートにコピペしてください,,,,,,,
※Instagramアカウントは「Instagram情報」列を参照(★=確認済み・更新活発、△=アカウントあり、?=未確認),,,,,,,
,,,,,,,
カテゴリ,店名/施設名,エリア,特徴・看板メニュー,Instagram情報,絵文字案,備考,採用?
アイテム,音羽米,音羽地区,豊川市ブランド米,-,🌾,アイテム枠(食材),
アイテム,とよかわバラ,豊川市,生産日本一,-,🌹,アイテム枠,
アイテム,さくらたまご,豊川市,地元ブランド卵,-,🥚,アイテム枠,
,,,,,,,
,,,,,,,
【凡例】,Instagram列:★=確認済み・活発｜△=アカウントあり｜?=未確認｜-=対象外(アイテム等),,,,,,
【使い方】,採用したいお店の「採用?」欄に〇を入れて、「ラッキースポット入力」シートへコピペ。エリア・絵文字・特徴(メモ欄)を活用してください。,,,,,,
【注意】,Web検索ベースのため、最新の営業状況・店名は要確認。豊川ガイドさんの実体験・地元情報を最優先してください。,,,,,,
,,,,,,,
,,,,,,,
【追加候補:日常スポット&公共施設】※ネタ枯渇時&季節ネタ用,,,,,,,
,,,,,,,
スーパー,サンヨネ豊川店,金塚町,地元密着の人気スーパー。鮮魚が看板、お酒の品揃えも豊富,?,🛒,稲荷口駅徒歩3分、駐車場広い,
スーパー,フィール豊川店,稲荷口,大型スーパー。イートイン+セリア併設で生活用品揃う,?,🛒,名古屋系、稲荷口駅徒歩5分,
スーパー,ピアゴ豊川店,幸町,生活密着の大型スーパー,?,🛒,ユニーグループ,
スーパー,ドミー小坂井店,伊奈町,広い駐車場(203台)、生活密着型,?,🛒,伊奈駅徒歩7分,
スーパー,マックスバリュ豊川八幡店,八幡町,7時〜23時半まで営業、品揃え豊富,?,🛒,八幡駅徒歩6分、長時間営業,
スーパー,イオンスタイル豊川,八幡町,8時〜22時、大型店舗,★,🛒,イオンモール豊川内,
スーパー,イオン豊川開運通店,開運通,通常8時〜23時の長時間営業,★,🛒,稲荷口駅徒歩13分,
スーパー,業務スーパー豊川御油店,御油町,業務用食材が安価に入手可能,?,🛒,御油駅徒歩5分,
スーパー,クックマート,豊川市,豊橋地盤、新鮮さと価格のバランス◎,△,🛒,地元の人気スーパー,
スーパー,バロー,豊川市内,東海地盤の大型スーパー,△,🛒,安定の品揃え,
ドラッグ,ウエルシア豊川駅東口店,豊川町波通,9時〜24時の長時間営業、調剤併設,★(公式),💊,駅近・遅い時間OK,
ドラッグ,ウエルシア豊川蔵子店,蔵子,ドラッグ+調剤、八幡駅徒歩10分,★(公式),💊,駐車場あり,
ドラッグ,ウエルシア豊川中条町店,中条町,中条町エリアのウエルシア,★(公式),💊,エリアの定番,
ドラッグ,スギ薬局御油店,御油町,9時〜22時、年中無休,★(公式),💊,御油駅徒歩11分,
ドラッグ,スギ薬局(豊川市内18店舗),市内各所,スギ薬局は豊川市内に18店舗,★(公式),💊,市内最多展開,
ドラッグ,V・ドラッグ豊川南店,諏訪町,9時〜21時、調剤併設,△,💊,諏訪町駅近く,
ドラッグ,V・ドラッグ豊川東店,豊川駅近く,9時〜21時,△,💊,豊川稲荷駅徒歩5分,
ドラッグ,クスリのアオキ,豊川市内複数,近年出店数増加中の北陸系チェーン,△,💊,生活インフラ,
ドラッグ,マツモトキヨシ,豊川市内,コスメも強い大手チェーン,△,💊,若い世代に人気,
ホムセン,カインズ豊川稲荷店,豊川市,大型ホームセンター。DIY・園芸・ペット,△,🔨,休日のお出かけスポット,
ホムセン,コメリ,豊川市内,農業・園芸資材に強い,△,🔨,農家にも人気,
ホムセン,ユーホー豊川蔵子店,蔵子,地元密着型ホームセンター,?,🔨,お手頃価格,
公共,豊川稲荷(妙厳寺),豊川町,日本三大稲荷。総門・本殿・霊狐塚,★(公式),🦊,豊川の象徴、365日参拝OK,
公共,砥鹿神社 里宮,一宮町,三河国一宮。歴史ある古社,△,⛩️,由緒ある神社,
公共,砥鹿神社 奥宮,本宮山頂,本宮山山頂の奥宮、登拝コース有名,△,⛩️,登山と組み合わせ,
公共,菟足神社,小坂井町,うさぎの神社、御朱印人気,△,🐰,可愛い系,
公共,大社神社,国府町,花魁道中で有名,△,⛩️,お祭り時期に,
公共,進雄神社,豊川市,地域に根付いた神社,?,⛩️,地元の方の生活密着,
公共,東三河ふるさと公園,御油町,広大な公園、東海道宿場町風滑り台,△,🌳,ファミリー向け、入場無料,
公共,赤塚山公園(ぎょぎょランド),市田町,東三河唯一の淡水魚水族館,△,🐟,入場無料、家族向け,
公共,アニアニまある,市田町,小動物とのふれあい施設,△,🐰,赤塚山公園隣接,
公共,佐奈川堤の桜,佐奈川沿い,4kmの桜並木+菜の花,△,🌸,春限定の名所,
公共,御油の松並木,御油町,旧東海道の松並木、国の天然記念物,△,🌲,歴史ある景観,
公共,本宮の湯,上長山町,日帰り天然温泉、入れ替え制,△,♨️,森の湯/空の湯,
公共,豊川市民プール,豊川市,公共プール、夏に活躍,?,🏊,夏限定,
公共,音羽運動公園,音羽地区,運動・スポーツ利用可能,?,🏃,スポーツ愛好家向け,
公共,豊川市役所,諏訪,市の中心施設,★(市公式),🏛️,住民票・各種手続き,
公共,豊川市図書館,諏訪,蔵書豊富、勉強・読書スペース,△,📚,休日の家族時間に,
公共,プリオ豊川,豊川駅前,豊川駅前のショッピング+市民施設,△,🏬,駅前複合施設,
,,,,,,,
,,,,,,,
🛒 日常枠,ネタ枯渇時 or 「日常密着」コーナーとして全体の30%程度。クレームリスク低い。,,,,,,
⛩️ 公共枠,神社・公園・温泉など、季節ネタや特別な日(初詣・桜・紅葉)で活用。全体の20%程度。,,,,,,
🌟 メイン枠,個人経営の素敵なお店(関係構築の効果大)が全体の50%。上の最初のリサーチ55件が該当。,,,,,,
